"","Season","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","Team1P","Team1HomeW","Team1HomeD","Team1HomeL","Team1HomeGF","Team1HomeGA","Team1AwayW","Team1AwayD","Team1AwayL","Team1AwayGF","Team1AwayGA","Team1GD","Team1Pts","Team2P","Team2HomeW","Team2HomeD","Team2HomeL","Team2HomeGF","Team2HomeGA","Team2AwayW","Team2AwayD","Team2AwayL","Team2AwayGF","Team2AwayGA","Team2GD","Team2Pts"
"74",1,"E0","03/10/98","Middlesbrough","Sheffield Weds",4,0,"H",7,0,3,0,3,3,2,0,2,5,5,0,9,7,2,0,2,4,2,1,0,2,4,3,3,9
"75",1,"E0","03/10/98","Nott'm Forest","Charlton",0,1,"A",7,1,1,1,1,2,1,0,3,4,7,-4,7,7,1,1,1,7,3,0,3,1,4,7,1,7
"76",1,"E0","03/10/98","Southampton","Man United",0,3,"A",7,0,1,2,3,5,0,0,4,0,13,-15,1,6,3,1,0,10,3,0,1,1,0,3,4,11
"77",1,"E0","03/10/98","Wimbledon","Everton",1,2,"A",7,2,1,0,6,3,1,2,1,5,6,2,12,7,0,3,1,0,1,1,1,1,4,4,-1,7
"78",1,"E0","04/10/98","Arsenal","Newcastle",3,0,"H",7,2,1,0,5,1,0,3,1,1,2,3,10,7,2,1,1,7,4,1,1,1,6,3,6,11
"79",1,"E0","04/10/98","Liverpool","Chelsea",1,1,"D",7,1,2,0,5,3,2,0,2,7,6,3,11,6,2,2,0,5,2,1,0,1,5,5,3,11
"80",1,"E0","17/10/98","Arsenal","Southampton",1,1,"D",8,3,1,0,8,1,0,3,1,1,2,6,13,8,0,1,3,3,8,0,0,4,0,13,-18,1
"81",1,"E0","17/10/98","Chelsea","Charlton",2,1,"H",7,2,2,0,5,2,1,1,1,6,6,3,12,8,1,1,1,7,3,1,3,1,5,7,2,10
"82",1,"E0","17/10/98","Everton","Liverpool",0,0,"D",8,0,3,1,0,1,2,1,1,6,5,0,10,8,1,3,0,6,4,2,0,2,7,6,3,12
"83",1,"E0","17/10/98","Man United","Wimbledon",5,1,"H",7,3,1,0,10,3,1,1,1,3,3,7,14,8,2,1,1,7,5,1,2,1,5,6,1,12
"84",1,"E0","17/10/98","Middlesbrough","Blackburn",2,1,"H",8,1,3,0,7,3,2,0,2,5,5,4,12,8,2,1,1,7,4,0,1,3,1,6,-2,8
"85",1,"E0","17/10/98","Newcastle","Derby",2,1,"H",8,2,1,1,7,4,1,1,2,6,6,3,11,8,2,1,1,3,1,1,2,1,3,3,2,12
